Bug Report ID,GitHub Issue Link,Number of actual S2Rs,Number of reported S2Rs,SDK
recdroid-45,https://github.com/dozingcat/AsciiCam/issues/17,6,6,5
recdroid-42,https://github.com/moezbhatti/qksms/issues/585,5,5,5
recdroid-39,https://github.com/hidroh/materialistic/issues/1067,8,5,4.4
recdroid-38,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector/issues/816,4,2,5
recdroid-35,https://github.com/alexstyl/Memento-Calendar/issues/169,6,3,5
recdroid-34,https://github.com/mikepenz/FastAdapter/issues/113,17,2,7
recdroid-33,https://github.com/ASU-CodeDevils/FlashCards/issues/13,3,3,7
recdroid-31,https://github.com/HiddenRamblings/TagMo/issues/12,1,1,5
recdroid-30,https://github.com/ankidroid/Anki-Android/issues/4586,5,5,7
recdroid-3,https://github.com/rigid/Birthdroid/issues/13,6,2,6
recdroid-29,https://github.com/k9mail/k-9/issues/2019,3,1,7
recdroid-28,https://github.com/k9mail/k-9/issues/2612,3,4,7
recdroid-27,https://github.com/k9mail/k-9/issues/3255,4,2,6
recdroid-26,https://github.com/opendatakit/collect/issues/2086,3,2,6
recdroid-25,https://github.com/vestrel00/android-dagger-butterknife-mvp/issues/46,1,1,5
recdroid-24,https://github.com/pires/android-obd-reader/issues/22,8,4,5
recdroid-23,https://github.com/nextcloud/news-android/issues/487,2,1,4.4
recdroid-22,https://code.google.com/archive/p/ventriloid/issues/1,3,3,4.4
recdroid-21,https://github.com/vijai1996/screenrecorder/issues/25,5,3,6
recdroid-2,https://github.com/gsantner/markor/issues/194,4,3,5
recdroid-17,https://github.com/y20k/transistor/issues/63,3,3,6
recdroid-15,https://github.com/milesmcc/LibreNews-Android/issues/27,5,3,5
recdroid-14,https://github.com/milesmcc/LibreNews-Android/issues/23,5,5,5
recdroid-13,https://github.com/milesmcc/LibreNews-Android/issues/22,6,3,5
recdroid-12,https://github.com/mikepenz/FastAdapter/issues/394,2,1,6
recdroid-11,https://github.com/vishnus/Olam/issues/1,2,1,5
recdroid-1,https://github.com/samuelclay/NewsBlur/issues/1053,5,5,5
andror2-276,https://github.com/kiwix/kiwix-android/issues/990,4,4,5
andror2-198,https://github.com/y20k/transistor/issues/149,5,3,8
andror2-168,https://github.com/cgeo/cgeo/issues/7369,1,1,10
andror2-159,https://github.com/ankidroid/Anki-Android/issues/6432,26,6,10
